======================================================================
GPU Scalar Multiplication Performance - GF(2^571) sect571r1
Lopez-Dahab Projective Coordinates + Itoh-Tsujii Inversion
======================================================================

Number of runs     : 50
Average time       : 2734.8645 ms
Median time        : 2735.9535 ms
Min time           : 2619.1504 ms (run #27)
Max time           : 2835.5029 ms (run #1)
Std deviation      : 57.3190 ms
Total time         : 136743.2227 ms

----------------------------------------------------------------------
Run   Time (ms)     Scalar k (hex)                                                                                                                                      x_aff (hex)
15    2714.4090     0x6484041f00a80eedbec9ae6d3fd582fd35f6b6b155380fc88093e6117a2337943dd42a0dcf3cd8e6d8ba9b8094cc5ce244e80f7669b5cd2ff88fec24f2936cf61254080a8e4ba49   0x02c020751013ba300f1c0eb47c2dc0fb95110083507efc85508f9d0530840e4313fef179a6fd43fac22d8c60c27c0363440bf6de06aaf7642821c360eed91539606ff074d9e0477
16    2777.8871     0x44e06a51f85a37327fa34fb8aeeb21c87500751fd6738ada5d9ebdc44275d693d9db4330228e709f54aa97dce6536d556accc64b73712a9d169483bbc661922231e1c9e5f8285d1   0x1d3f0b1c4449ebed6153f5c90cf9e138c00e81331b82e83987bc8e3c4f9b97504ce44b172b9c251a74942b1ec9bf977504cc09e5863acad25f73d0dc3301573eea1cae2dd762cda
17    2817.4720     0x78e9a3808e47a0b9acc13a4fa9c203c775cb2f6cd34905bfd63c55ae37e22aa5db57b84cbd9126c6df7a87f706fca9f0fabf510c39d8b5be29429bee08cb852034bedbdf9382f4f   0x729b7044a205cc90dbf5a105e416ec909593695dae130db531f47c3dd64a8066fecb4eff4ec737abd79f99813ff9cae7b8ec64b06d63e11afcad610235bcb0c2632ff9d0e2fb0d0
18    2729.8548     0x48e6c19af49d937bf8010c9eaa83792ee8ac94dbb1034971fa9f700dc05adf2fcf1a9865d9e8484b69906ed700437949a554ce0d39125dc929848dca7470562597fe502c3f727ad   0x2c2ca9042bb77903481e6903c5bb0109dcd78015063c33b31376c10dfbad71143063a5db81ae9d9fdab1b478a96b880149a97d27fbbca9160e07a88e4fdb89a4f716fe3bf411e3f
19    2782.3318     0x7f64b75028cc231ed45c641e9c49c19e977f7e3d2fe3c6364e7fd49220fd39fc6844ac1c995d60c9edce774fffd031d1c67ef5d23b4584b4c94238701dbb83234a8ce08c1b134b8   0x2060979a25a73534749dfca397dc78f03cd8a21db7d7ab98507dc50e687e3808ed2bb567cc0bcf206950f117e92eabb67fc2e41ea4ece3b751c6ff5d461068249e92735d842de19
20    2722.8123     0x54108d4fac2be56faf2f947a538722b006f82366ff273b01ca093b5e741c5af7816e3adccfe57a32e104963661a0799047162a447e7d484b8511873ba4579fead5783d4143a1b94   0x198ba80debd0018903c26e8440e157b4963dd8f4b09a3e725555df7e8a8ed76b4a5a83085cab663e120a94514e2da60379ca3287f257d19d1f75bafbe851cda8fac274be64e5907
21    2755.8841     0x55051d34966018554461bbf4794d33b3ac80b9e89cee5d926c112b5a2abc659b0c1d1af7e88cfc8e89282b8af4a98fd67171b6db72402bcdafcd8eaf743e14a5b9d614d613eb732   0x3cae101d3e75664bcbc2e022ad478907dca8f311ad273249f8856ad6ccbe265d08e1a089e3f10c2db60680c65607e85875982f6d60f236ad60c681262fed5540191bd4cd04d558d
22    2699.1365     0x6678dc4c1456f3f092f51f10c5c7e350bb2a88383fd2a80ccfc44d1de9b3885d7b47633ee267a39bf4e5e2b8fb132bc5f847087391f0527488c6f59199d2383f456a6812a883e86   0x66bc87249661b3c260a9678c7c5074eb6e188cfd81feedafb25807f0b63062ffa109481df318b35bb28b84a8c88b78a42842f01335993ff320d3f830f1a6eeb9649bdd86af82e5d
23    2729.4647     0x6e23b07c16bb496c94fd52b3d59111c3e21a657598f5b7a87e373859574b046374f15e377c5923315026f207554902cb7e33bfb67b431a4a8034b0554c9f63ac208b4c27ed4c2f7   0x447aa8a0b2939c8b6152f3b7122385efac7a1d236db8ec1995927a6e38e689a1335399137c537b8863646f9bc8225458d9faafc2dd30bb86a1304b934bc4ccdbe84d53198055e7c
24    2774.1505     0x4923d2434dbef6d4384f9b16c3aae12a04e4df77187981f7c88bfe6f6d06e0f551971a47b60d2ec4afa563ea9d25291d5eddba1834b02f062c1b6d9342eff56a67d30c12203e8fa   0x1d3c0f000ca379280fbc33e18190d1e90f585366b2a267bf54d0d56fe7b9c087e186441b67908972b4ed02d9ec001c8a1ae1d249f8d391f648595b2a73efb5f314e276e33579e6e
